Start Time,End Time,Name,PaperId,Presenter,Demo,Options,Great Together,Ok Together,Not Ok Together,Don't know if should be together,Interested in,Options 11-20,More button1 clicked,More button2 clicked,Specials 1-3,Specials 4-6,Comments
2013-10-22T22:30:17Z,2013-10-22T22:32:31Z,Sean Munson,cscw233,Sean Munson,,"cscw648,cscw517,cscw387,cscw542,cscw537,cscw327,cscw487,cscw395,cscw637,cscw596",,"cscw517,cscw542,cscw395","cscw596,cscw537","cscw487,cscw327,cscw648,cscw387,cscw637","cscw542,cscw395,cscw387","cscw145,cscw526,cscw624,cscw305,cscw142,cscw390,cscw590,cscw211,cscw647,cscw443",FALSE,FALSE,,,
2013-10-22T22:29:29Z,2013-10-22T22:34:45Z,Zhen Yue,cscw352,Zhen Yue,yes,"cscw443,cscw178,cscw191,cscw333,cscw190,cscw293,cscw274,cscw550,cscw626,cscw474","cscw293,cscw191,cscw550",cscw443,cscw178,"cscw626,cscw190,cscw474,cscw333,cscw274","cscw191,cscw550","cscw492,cscw253,cscw268,cscw241,cscw625,cscw471,cscw566,cscw302,cscw356,cscw527",FALSE,FALSE,,,
2013-10-22T22:29:53Z,2013-10-22T22:36:46Z,Alexander Quinn,cscw626,Alexander Quinn,yes,"cscw352,cscw527,cscw663,cscw223,cscw440,cscw647,cscw597,cscw602,cscw317,cscw105","cscw440,cscw105,cscw597,cscw647,cscw317",,"cscw602,cscw223,cscw663,cscw527,cscw352",,"cscw317,cscw352,cscw647,cscw527,cscw440,cscw597,cscw105","cscw487,cscw486,cscw374,cscw443,cscw293,cscw191,cscw637,cscw530,cscw625,cscw365",FALSE,FALSE,,,
2013-10-22T22:30:19Z,2013-10-22T22:37:13Z,Paul André,cscw317,Paul André,,"cscw597,cscw629,cscw188,cscw391,cscw647,cscw626,cscw440,cscw105,cscw584,cscw254","cscw626,cscw254","cscw105,cscw391","cscw440,cscw188","cscw584,cscw629,cscw597,cscw647","cscw254,cscw629,cscw626","cscw588,cscw558,cscw488,cscw668,cscw431,cscw432,cscw486,cscw590,cscw487,cscw548",TRUE,FALSE,,,:)
2013-10-22T22:32:21Z,2013-10-22T22:39:12Z,Audrey Desjardins,cscw471,Audrey Desjardins,,"cscw209,cscw663,cscw487,cscw191,cscw188,cscw579,cscw243,cscw354,cscw495,cscw352",cscw579,"cscw204,cscw243,cscw209,cscw274","cscw487,cscw241,cscw566,cscw191,cscw190,cscw222,cscw663,cscw188,cscw495,cscw431,cscw354,cscw390,cscw253,cscw352,cscw558",,"cscw579,cscw209","cscw558,cscw431,cscw274,cscw253,cscw566,cscw204,cscw390,cscw241,cscw190,cscw222",TRUE,FALSE,,,
2013-10-22T22:39:20Z,2013-10-22T22:44:39Z,N. Sadat Shami,cscw308,N. Sadat Shami,,"cscw108,cscw387,cscw358,cscw648,cscw473,cscw223,cscw130,cscw494,cscw277,cscw590","cscw387,cscw358","cscw130,cscw473,cscw277",cscw223,"cscw648,cscw108,cscw590,cscw494","cscw277,cscw130,cscw494,cscw473,cscw358","cscw430,cscw295,cscw391,cscw530,cscw374,cscw211,cscw221,cscw566,cscw474,cscw390",FALSE,FALSE,,,
2013-10-22T22:32:15Z,2013-10-22T22:52:18Z,Airi Lampinen,cscw374,Airi Lampinen,,"cscw559,cscw647,cscw369,cscw493,cscw527,cscw302,cscw228,cscw413,cscw626,cscw668","cscw369,cscw559","cscw228,cscw668","cscw626,cscw413","cscw302,cscw527,cscw647,cscw493","cscw493,cscw668,cscw228,cscw559,cscw369","cscw411,cscw305,cscw387,cscw440,cscw310,cscw499,cscw599,cscw128,cscw624,cscw586",FALSE,FALSE,,,
2013-10-22T22:58:09Z,2013-10-22T23:00:19Z, Gina Venolia,cscw558,Meredith Morris,,"cscw550,cscw462,cscw354,cscw599,cscw293,cscw474,cscw390,cscw609,cscw228,cscw598",cscw462,"cscw293,cscw609,cscw598,cscw599","cscw228,cscw474,cscw354,cscw390",cscw550,,"cscw317,cscw209,cscw188,cscw387,cscw191,cscw204,cscw240,cscw636,cscw277,cscw647",FALSE,FALSE,,,
2013-10-22T22:59:10Z,2013-10-22T23:03:37Z, Marcelo Cataldo,cscw395,Kate Ehrlich,,"cscw493,cscw590,cscw285,cscw233,cscw494,cscw254,cscw355,cscw305,cscw211,cscw622",cscw211,"cscw254,cscw233","cscw305,cscw590,cscw493,cscw355","cscw285,cscw494,cscw622",cscw211,"cscw387,cscw609,cscw252,cscw369,cscw624,cscw413,cscw438,cscw391,cscw390,cscw128",FALSE,FALSE,,,
2013-10-22T22:59:10Z,2013-10-22T23:03:51Z, Marcelo Cataldo,cscw395,Kate Ehrlich,,"cscw493,cscw590,cscw285,cscw233,cscw494,cscw254,cscw355,cscw305,cscw211,cscw622",cscw211,"cscw254,cscw233","cscw305,cscw590,cscw493,cscw355","cscw285,cscw494,cscw622",cscw211,"cscw387,cscw609,cscw252,cscw369,cscw624,cscw413,cscw438,cscw391,cscw390,cscw128",FALSE,FALSE,,,
2013-10-22T22:59:10Z,2013-10-22T23:03:57Z, Marcelo Cataldo,cscw395,Kate Ehrlich,,"cscw493,cscw590,cscw285,cscw233,cscw494,cscw254,cscw355,cscw305,cscw211,cscw622",cscw211,"cscw254,cscw233","cscw305,cscw590,cscw493,cscw355","cscw285,cscw494,cscw622",cscw211,"cscw387,cscw609,cscw252,cscw369,cscw624,cscw413,cscw438,cscw391,cscw390,cscw128",FALSE,FALSE,,,
2013-10-22T22:59:10Z,2013-10-22T23:03:57Z, Marcelo Cataldo,cscw395,Kate Ehrlich,,"cscw493,cscw590,cscw285,cscw233,cscw494,cscw254,cscw355,cscw305,cscw211,cscw622",cscw211,"cscw254,cscw233","cscw305,cscw590,cscw493,cscw355","cscw285,cscw494,cscw622",cscw211,"cscw387,cscw609,cscw252,cscw369,cscw624,cscw413,cscw438,cscw391,cscw390,cscw128",FALSE,FALSE,,,
2013-10-22T22:59:10Z,2013-10-22T23:03:58Z, Marcelo Cataldo,cscw395,Kate Ehrlich,,"cscw493,cscw590,cscw285,cscw233,cscw494,cscw254,cscw355,cscw305,cscw211,cscw622",cscw211,"cscw254,cscw233","cscw305,cscw590,cscw493,cscw355","cscw285,cscw494,cscw622",cscw211,"cscw387,cscw609,cscw252,cscw369,cscw624,cscw413,cscw438,cscw391,cscw390,cscw128",FALSE,FALSE,,,
2013-10-22T23:04:53Z,2013-10-22T23:06:59Z,Karim Said,cscw462,Karim Said,,"cscw413,cscw333,cscw609,cscw473,cscw550,cscw430,cscw369,cscw599,cscw558,cscw285",,"cscw609,cscw599,cscw333,cscw550,cscw558",,"cscw369,cscw285,cscw473,cscw413,cscw430","cscw430,cscw473,cscw285,cscw599,cscw558,cscw550,cscw609","cscw409,cscw624,cscw598,cscw399,cscw299,cscw310,cscw100,cscw243,cscw252,cscw339",FALSE,FALSE,,,
2013-10-22T23:26:56Z,2013-10-22T23:30:59Z,Jessica Lingel,cscw493,Jessica Lingel,,"cscw399,cscw310,cscw241,cscw590,cscw622,cscw374,cscw547,cscw299,cscw499,cscw161","cscw241,cscw374","cscw299,cscw547,cscw622,cscw399","cscw161,cscw499","cscw590,cscw310","cscw499,cscw547,cscw374,cscw241","cscw486,cscw369,cscw624,cscw119,cscw277,cscw285,cscw492,cscw147,cscw609,cscw128",FALSE,FALSE,,,
2013-10-22T23:31:20Z,2013-10-22T23:34:35Z,Jessica Lingel,cscw178,Jessica Lingel,,"cscw526,cscw550,cscw105,cscw492,cscw471,cscw240,cscw190,cscw285,cscw608,cscw302","cscw302,cscw240,cscw526,cscw492","cscw608,cscw471",,"cscw190,cscw285,cscw105,cscw550","cscw492,cscw471,cscw302,cscw240","cscw191,cscw599,cscw566,cscw241,cscw493,cscw391,cscw413,cscw274,cscw374,cscw253",FALSE,FALSE,,,
2013-10-22T23:34:23Z,2013-10-22T23:42:44Z,Jennifer Marlow,cscw310,Jennifer Marlow,,"cscw105,tochi100,cscw438,cscw274,cscw369,cscw253,cscw599,cscw358,cscw494,cscw254","cscw105,cscw494,cscw358","cscw254,cscw252","cscw299,cscw119,cscw598,cscw599,cscw108,cscw493,cscw624,cscw374,cscw438,cscw253,cscw399,cscw274","cscw369,tochi100,cscw430","cscw254,cscw430,cscw438,tochi100,cscw494,cscw358,cscw399,cscw599,cscw105,cscw299","cscw430,cscw252,cscw493,cscw598,cscw108,cscw119,cscw374,cscw624,cscw399,cscw299",TRUE,TRUE,,,
2013-10-22T23:35:47Z,2013-10-22T23:43:26Z,Rannie Teodoro,cscw440,Rannie Teodoro,,"cscw609,cscw586,cscw629,cscw474,cscw647,cscw365,cscw599,cscw486,cscw597,cscw527","cscw365,cscw629,cscw599,cscw527","cscw486,cscw597,cscw474,cscw647",cscw609,cscw586,"cscw586,cscw629,cscw527,cscw599,cscw365","cscw248,cscw550,cscw348,cscw588,cscw626,cscw274,cscw431,cscw317,cscw374,cscw548",FALSE,TRUE,,,
2013-10-22T23:37:28Z,2013-10-22T23:45:45Z, Jim Witschey,cscw608,Jim Witschey,,"cscw542,cscw494,cscw443,cscw178,cscw537,cscw310,cscw147,cscw395,cscw211,cscw191","cscw178,cscw221",cscw228,"cscw293,cscw384,cscw227,cscw191,cscw223,cscw542,cscw310,cscw494,cscw147,cscw354,cscw438,cscw537,cscw239,cscw274,cscw211","cscw443,cscw395","cscw274,cscw223,cscw178","cscw227,cscw293,cscw221,cscw384,cscw239,cscw223,cscw228,cscw274,cscw438,cscw354",TRUE,TRUE,,,
2013-10-23T00:11:17Z,2013-10-23T00:17:01Z,Robert Miller,cscw542,Robert Miller,yes,"cscw443,cscw608,cscw211,cscw147,cscw647,cscw233,cscw305,cscw637,cscw431,cscw354","cscw443,cscw233,cscw211",,"cscw647,cscw431","cscw305,cscw608,cscw147,cscw354,cscw637","cscw629,cscw191,cscw233,cscw354,cscw647,cscw443,cscw293,cscw488","cscw487,cscw488,cscw327,cscw663,cscw596,cscw629,cscw293,cscw191,cscw579,cscw277",FALSE,TRUE,,,
2013-10-23T00:01:58Z,2013-10-23T00:17:20Z,Nelson Wong,cscw490,Nelson Wong,,"cscw530,cscw223,cscw637,cscw356,cscw625,cscw602,cscw221,cscw411,cscw229,cscw142",cscw637,,"cscw588,cscw517,cscw348,cscw221,cscw602,cscw526,cscw229,cscw223,cscw142,cscw108,cscw473,cscw188,cscw625,cscw354,cscw355,cscw411,cscw254,cscw530",cscw356,"cscw356,cscw473,cscw142,cscw517","cscw108,cscw188,cscw354,cscw526,cscw517,cscw254,cscw588,cscw473,cscw355,cscw348",TRUE,TRUE,,,
2013-10-23T00:25:50Z,2013-10-23T00:31:17Z, Erin Spottswood,cscw299,Eden Litt,yes,"cscw409,cscw413,cscw100,cscw399,cscw374,cscw369,cscw285,cscw493,cscw119,cscw355","cscw409,cscw413,cscw374,cscw399","cscw119,cscw369,cscw285,cscw100,cscw493,cscw355",,,"cscw413,cscw493,cscw374,cscw399,cscw409","cscw624,cscw609,cscw108,cscw252,cscw395,cscw499,cscw462,cscw358,cscw599,cscw455",FALSE,FALSE,,,
2013-10-23T00:35:28Z,2013-10-23T00:48:00Z,Kenneth Shores,cscw620,Kenneth Shores,,"cscw145,cscw648,cscw438,cscw209,cscw190,cscw348,cscw586,cscw356,cscw305,cscw535","cscw348,cscw356","cscw305,cscw648,cscw190,cscw145","cscw487,cscw295,cscw369,cscw440,cscw223,cscw161,cscw494,cscw274","cscw586,cscw588,cscw486,cscw209,cscw438,cscw535","cscw190,cscw588,cscw356,cscw305,cscw535,cscw295,cscw348","cscw588,cscw223,cscw486,cscw487,cscw440,cscw369,cscw161,cscw494,cscw274,cscw295",TRUE,TRUE,,,
2013-10-23T00:46:40Z,2013-10-23T00:51:24Z, Madeline Smith,cscw299,Eden Litt,,"cscw409,cscw413,cscw100,cscw399,cscw374,cscw369,cscw285,cscw493,cscw119,cscw355",,"cscw119,cscw100,cscw409,cscw355,cscw399","cscw369,cscw413,cscw374","cscw285,cscw493","cscw624,cscw493,cscw455,cscw399,cscw100,cscw599","cscw624,cscw609,cscw108,cscw252,cscw395,cscw499,cscw462,cscw358,cscw599,cscw455",FALSE,TRUE,,,
2013-10-23T00:47:19Z,2013-10-23T01:12:54Z,Gloria Mark,cscw358,Gloria Mark,,"cscw310,cscw252,cscw599,cscw430,cscw108,cscw308,cscw387,cscw285,cscw369,cscw473","cscw285,cscw308,cscw252","cscw310,cscw430","cscw299,cscw369,cscw387,cscw108","cscw599,cscw473","cscw430,cscw252,cscw308,cscw285,cscw387","cscw299,cscw493,cscw100,cscw486,cscw240,cscw609,cscw535,cscw119,cscw399,cscw624",TRUE,FALSE,,,My co-authors have another paper and we want these papers to be in different sessions--I think in general it's a good idea to not place multiple papers by the same authors in the same session. It's best to vary the perspective.
2013-10-23T01:00:50Z,2013-10-23T01:14:29Z, Yilin He,cscw620,Kenneth Shores,,"cscw145,cscw648,cscw438,cscw209,cscw190,cscw348,cscw586,cscw356,cscw305,cscw535",cscw648,"cscw348,cscw356","cscw305,cscw209,cscw145,cscw438","cscw586,cscw190,cscw535","cscw356,cscw648,cscw535,cscw348","cscw588,cscw223,cscw486,cscw487,cscw440,cscw369,cscw161,cscw494,cscw274,cscw295",FALSE,FALSE,,,
2013-10-23T01:12:09Z,2013-10-23T01:16:23Z,Aniket Kittur,cscw293,Aniket Kittur,,"cscw558,cscw474,cscw495,cscw228,cscw499,cscw352,cscw634,cscw550,cscw191,cscw443","cscw191,cscw352","cscw474,cscw550,cscw558","cscw634,cscw228,cscw499,cscw495",cscw443,"cscw191,cscw352,cscw305","cscw305,cscw130,cscw387,cscw108,cscw626,cscw432,cscw161,cscw243,cscw602,cscw100",FALSE,TRUE,,,
2013-10-23T01:13:14Z,2013-10-23T01:26:44Z,Gloria Mark,cscw409,Gloria Mark,,"cscw517,cscw570,cscw142,cscw244,cscw145,cscw399,cscw299,cscw527,cscw119,cscw277","cscw299,cscw277,cscw253",cscw142,"cscw119,cscw204,cscw243,cscw285,cscw387,cscw599,cscw527,cscw145,cscw455,cscw413,cscw390,cscw430","cscw517,cscw244,cscw570,cscw399","cscw253,cscw277,cscw285,cscw142","cscw285,cscw455,cscw204,cscw253,cscw243,cscw599,cscw430,cscw387,cscw390,cscw413",TRUE,TRUE,,,"Any paper dealing with affect, face-to-face interaction or Facebook, would be good in a session with our paper."
2013-10-23T00:47:58Z,2013-10-23T01:36:06Z,Tawanna Dillahunt,cscw228,Tawanna Dillahunt,,"cscw130,cscw648,cscw119,cscw369,cscw293,cscw374,cscw558,cscw188,cscw339,cscw227",cscw374,"cscw119,cscw369,cscw188","cscw293,cscw227,cscw648,cscw339","cscw130,cscw558","cscw188,cscw339,cscw227,cscw558","cscw222,cscw559,cscw191,cscw161,cscw204,cscw474,cscw305,cscw430,cscw302,cscw390",FALSE,FALSE,,,
2013-10-23T01:52:39Z,2013-10-23T01:55:44Z, Björn Hartmann,cscw348,Derrick Coetzee,,"cscw305,tochi100,cscw365,cscw391,cscw588,cscw620,cscw440,cscw274,cscw369,cscw636","cscw391,tochi100","cscw636,cscw305","cscw440,cscw274","cscw588,cscw365,cscw369,cscw620",tochi100,"cscw487,cscw668,cscw223,cscw494,cscw327,cscw295,cscw586,cscw648,cscw530,cscw486",FALSE,FALSE,,,
2013-10-23T01:53:53Z,2013-10-23T02:07:02Z,Kate Ehrlich,cscw395,Kate Ehrlich,,"cscw493,cscw590,cscw285,cscw233,cscw494,cscw254,cscw355,cscw305,cscw211,cscw622","cscw285,cscw211","cscw305,cscw254,cscw233","cscw494,cscw493,cscw355","cscw590,cscw622","cscw211,cscw355,cscw590","cscw387,cscw609,cscw252,cscw369,cscw624,cscw413,cscw438,cscw391,cscw390,cscw128",TRUE,FALSE,,,
2013-10-23T02:28:27Z,2013-10-23T02:31:01Z, Jeff Hancock,cscw299,"Erin Spottswood,Eden Litt",,"cscw409,cscw413,cscw100,cscw399,cscw374,cscw369,cscw285,cscw493,cscw119,cscw355","cscw119,cscw285,cscw409,cscw399","cscw100,cscw493,cscw355",,"cscw369,cscw413,cscw374","cscw413,cscw119,cscw399,cscw100,cscw285,cscw409","cscw624,cscw609,cscw108,cscw252,cscw395,cscw499,cscw462,cscw358,cscw599,cscw455",FALSE,FALSE,,,
2013-10-23T02:30:29Z,2013-10-23T02:38:51Z, Karyn Moffatt,cscw240,Robert Ferguson,,"cscw455,cscw210,cscw211,cscw244,cscw295,cscw413,cscw277,cscw221,cscw547,cscw389","cscw295,cscw455","cscw221,cscw244,cscw389,cscw413",,"cscw547,cscw210,cscw277,cscw211","cscw413,cscw624,cscw547,cscw455,cscw221,cscw244,cscw389","cscw596,cscw559,cscw390,cscw305,cscw358,cscw624,cscw599,cscw315,cscw290,cscw145",FALSE,TRUE,,,
2013-10-23T02:39:19Z,2013-10-23T02:42:03Z, Karyn Moffatt,cscw240,Robert Ferguson,,"cscw455,cscw210,cscw211,cscw244,cscw295,cscw413,cscw277,cscw221,cscw547,cscw389",cscw455,"cscw295,cscw221,cscw244,cscw211",,"cscw547,cscw389,cscw210,cscw413,cscw277","cscw211,cscw413,cscw624,cscw455,cscw244,cscw295,cscw389","cscw596,cscw559,cscw390,cscw305,cscw358,cscw624,cscw599,cscw315,cscw290,cscw145",FALSE,TRUE,,,
2013-10-23T02:55:17Z,2013-10-23T02:59:49Z, Ido Guy,cscw358,Gloria Mark,,"cscw310,cscw252,cscw599,cscw430,cscw108,cscw308,cscw387,cscw285,cscw369,cscw473","cscw310,cscw308,cscw430","cscw285,cscw599,cscw108",cscw387,"cscw369,cscw473,cscw252","cscw252,cscw310,cscw473,cscw285,cscw599","cscw299,cscw493,cscw100,cscw486,cscw240,cscw609,cscw535,cscw119,cscw399,cscw624",FALSE,FALSE,,,
2013-10-23T03:00:24Z,2013-10-23T03:11:48Z,Chengzhyeng Sun,cscw239,Chengzhyeng Sun,,"cscw566,cscw455,cscw550,cscw488,cscw234,cscw191,cscw352,cscw135,cscw190,cscw527","cscw135,cscw234,cscw190",,,,"cscw190,cscw135,cscw234","cscw596,cscw290,cscw128,cscw608,cscw624,cscw293,cscw654,cscw663,cscw369,cscw227",FALSE,FALSE,,,
2013-10-23T03:09:42Z,2013-10-23T03:20:07Z, Haoqi Zhang,cscw542,Robert Miller,yes,"cscw443,cscw608,cscw211,cscw147,cscw647,cscw233,cscw305,cscw637,cscw431,cscw354",,"cscw305,cscw488,cscw233","cscw487,cscw327,cscw608,cscw596,cscw579,cscw647,cscw431","cscw443,cscw147,cscw354,cscw637,cscw211","cscw191,cscw305,cscw579,cscw293,cscw488","cscw487,cscw488,cscw327,cscw663,cscw596,cscw629,cscw293,cscw191,cscw579,cscw277",TRUE,TRUE,,,wow. I filled out the authorsourcing form.
2013-10-23T03:21:14Z,2013-10-23T03:24:06Z,Munmun De Choudhury,cscw413,Munmun De Choudhury,,"cscw547,cscw355,cscw462,cscw285,cscw221,cscw100,cscw295,cscw369,cscw599,cscw240","cscw547,cscw100","cscw295,cscw221","cscw462,cscw369,cscw285,cscw599,cscw355",cscw240,"cscw355,cscw547,cscw100,cscw285,cscw221,cscw295","cscw474,cscw384,cscw598,cscw399,cscw252,cscw374,cscw624,cscw128,cscw668,cscw409",FALSE,FALSE,,,
2013-10-23T04:25:04Z,2013-10-23T04:28:29Z,Anthony Tomasic,cscw548,John Zimmerman,,"cscw487,cscw586,cscw145,cscw602,cscw440,cscw268,cscw474,cscw389,cscw390,cscw597","cscw597,cscw474,cscw145","cscw586,cscw487,cscw602","cscw389,cscw390","cscw268,cscw440",cscw474,"cscw365,cscw647,cscw248,cscw438,cscw274,cscw584,cscw527,cscw629,cscw188,cscw105",FALSE,FALSE,,,
2013-10-23T06:09:39Z,2013-10-23T06:14:07Z,Alexander Boden,cscw211,,,"cscw142,cscw354,cscw542,cscw494,cscw315,cscw488,cscw147,cscw608,cscw204,cscw240",,"cscw142,cscw494,cscw147",,"cscw204,cscw488,cscw240,cscw608,cscw542,cscw315,cscw354","cscw494,cscw354,cscw147,cscw142","cscw663,cscw390,cscw609,cscw499,cscw333,cscw590,cscw233,cscw517,cscw535,cscw395",FALSE,FALSE,,,Presenter is not yet decided.
2013-10-23T06:48:15Z,2013-10-23T06:49:21Z,Chloe Brown,cscw277,Daniele Quercia,,"cscw648,cscw147,cscw570,cscw305,cscw517,cscw622,cscw527,cscw240,cscw387,cscw409",,"cscw622,cscw409",,"cscw305,cscw517,cscw240,cscw648,cscw387,cscw527,cscw570,cscw147",cscw409,"cscw391,cscw308,cscw530,cscw390,cscw241,cscw493,cscw566,cscw492,cscw482,cscw233",FALSE,FALSE,,,
2013-10-23T07:24:56Z,2013-10-23T07:37:58Z,Peter Tolmie,cscw209,Peter Tolmie,,"cscw222,cscw105,cscw268,cscw356,cscw190,cscw499,cscw535,cscw390,cscw100,cscw389","cscw535,cscw274","cscw268,cscw389,cscw499,cscw100,cscw438,cscw558","cscw178,cscw190,cscw188,cscw620,cscw356","cscw204,cscw241,cscw191,cscw222,cscw105,cscw471,cscw390","cscw274,cscw438,cscw100,cscw390,cscw558,cscw535,cscw204","cscw438,cscw241,cscw274,cscw178,cscw471,cscw204,cscw191,cscw620,cscw188,cscw558",TRUE,TRUE,,,
2013-10-23T07:16:15Z,2013-10-23T07:40:54Z, Lotte Groth Jensen,cscw210,Lotte Groth Jensen,,"cscw494,cscw290,cscw223,cscw663,cscw221,cscw596,cscw389,cscw240,cscw295,cscw315","cscw663,cscw315",cscw290,"cscw221,cscw389","cscw295,cscw240,cscw223,cscw596,cscw494","cscw315,cscw211,cscw663,cscw566,cscw526,cscw229,cscw596,cscw223,cscw530,cscw290","cscw409,cscw387,cscw204,cscw530,cscw277,cscw229,cscw566,cscw517,cscw526,cscw211",FALSE,TRUE,,,
2013-10-23T07:27:55Z,2013-10-23T07:56:41Z,Peter Heinrich,cscw517,Peter Heinrich,,"cscw211,cscw204,cscw277,cscw327,cscw637,cscw268,cscw537,cscw233,cscw390,cscw409",cscw211,"cscw268,cscw409,cscw277,cscw637,cscw537,cscw233",cscw390,"cscw204,cscw327","cscw211,cscw527,cscw537,cscw530,cscw409","cscw527,cscw315,cscw494,cscw295,cscw223,cscw566,cscw526,cscw387,cscw530,cscw210",FALSE,TRUE,,,
2013-10-23T07:58:56Z,2013-10-23T08:01:39Z, Vladimir Filkov,cscw354,Bogdan Vasilescu,,"cscw558,cscw542,cscw488,cscw668,cscw663,cscw550,cscw188,cscw471,cscw211,cscw636","cscw636,cscw488,cscw550","cscw663,cscw188","cscw668,cscw471,cscw558","cscw542,cscw211","cscw211,cscw663,cscw188,cscw542,cscw636,cscw550,cscw488","cscw584,cscw487,cscw609,cscw647,cscw599,cscw495,cscw474,cscw147,cscw579,cscw248",FALSE,FALSE,,,
2013-10-23T08:13:10Z,2013-10-23T08:20:57Z,Bran Knowles,cscw527,"Mark 
Rouncefield",,"cscw570,cscw440,cscw596,cscw409,cscw241,cscw487,cscw387,cscw277,cscw626,cscw390","cscw487,cscw387,cscw596,cscw570,cscw390","cscw440,cscw277",,"cscw241,cscw626,cscw409","cscw390,cscw570,cscw387,cscw487","cscw374,cscw389,cscw526,cscw191,cscw190,cscw274,cscw178,cscw548,cscw438,cscw105",FALSE,FALSE,,,
2013-10-23T08:32:42Z,2013-10-23T08:47:08Z,David Martin,cscw365,David Martin,,"cscw440,cscw629,cscw647,cscw597,cscw548,cscw584,cscw636,cscw223,cscw486,cscw348","cscw629,cscw440,cscw597,cscw647","cscw636,cscw486,cscw584,cscw348,cscw548,cscw223",,,"cscw584,cscw629,cscw647,cscw440,cscw597,cscw223,cscw348","cscw145,cscw431,cscw274,cscw384,cscw369,cscw588,cscw105,cscw188,cscw626,cscw248",FALSE,FALSE,,,
2013-10-23T08:51:41Z,2013-10-23T08:54:26Z," Mark 
Rouncefield",cscw527,,,"cscw570,cscw440,cscw596,cscw409,cscw241,cscw487,cscw387,cscw277,cscw626,cscw390",,"cscw440,cscw596","cscw241,cscw387,cscw390","cscw487,cscw626,cscw570,cscw409,cscw277",,"cscw374,cscw389,cscw526,cscw191,cscw190,cscw274,cscw178,cscw548,cscw438,cscw105",TRUE,FALSE,,,
2013-10-23T09:51:15Z,2013-10-23T09:58:11Z, Lionel Robert,cscw233,Sean Munson,,"cscw648,cscw517,cscw387,cscw542,cscw537,cscw327,cscw487,cscw395,cscw637,cscw596","cscw327,cscw596,cscw395",cscw537,"cscw648,cscw387","cscw487,cscw517,cscw542,cscw637","cscw395,cscw327,cscw596","cscw145,cscw526,cscw624,cscw305,cscw142,cscw390,cscw590,cscw211,cscw647,cscw443",FALSE,FALSE,,,
2013-10-23T10:31:59Z,2013-10-23T10:34:17Z,Carlos Castillo,cscw222,Carlos Castillo,yes,"cscw209,cscw188,cscw191,cscw471,cscw431,cscw576,cscw558,cscw252,cscw390,cscw204",cscw358,"cscw487,cscw413",,,"cscw188,cscw576,cscw327,cscw634,cscw487","cscw634,cscw228,cscw358,cscw108,cscw241,cscw492,cscw413,cscw482,cscw327,cscw487",TRUE,TRUE,,,
2013-10-23T09:56:59Z,2013-10-23T10:38:12Z,Michal Jacovi,cscw387,Michal Jacovi,,"cscw590,cscw527,cscw308,cscw596,cscw277,cscw473,cscw358,cscw108,cscw233,cscw430",,"cscw308,cscw277,cscw233",cscw358,"cscw596,cscw108,cscw527,cscw590,cscw430","cscw277,cscw233,cscw527,cscw308","cscw409,cscw305,cscw566,cscw550,cscw390,cscw648,cscw374,cscw145,cscw598,cscw530",FALSE,FALSE,,,
